scrimmage_id,date,discipline,division,team_a,team_b,score_team_a,score_team_b,venue,attendance_count
NRHL-SCR-2026-001,2026-01-03,Inline / Roller Hockey,,Team A,Team B,11,10,"-1.224532,36.808400",10
NRHL-SCR-2026-002,2026-01-10,Inline / Roller Hockey,,Team A,Team B,5,8,"-1.224532,36.808400",9
NRHL-SCR-2026-003,2026-01-17,Inline / Roller Hockey,,Team A,Team B,4,4,"-1.224532,36.808400",7
NRHL-SCR-2026-004,2026-01-24,Inline / Roller Hockey,,Team A,Team B,,,"-1.224532,36.808400",7
NRHL-SCR-2026-005,2026-01-31,Inline / Roller Hockey,,Team A,Team B,,,"-1.224532,36.808400",7
NRHL-SCR-2026-006,2026-02-07,Inline / Roller Hockey,,Team A,Team B,,,"-1.224532,36.808400",6
NRHL-SCR-2026-007,2026-02-14,Inline / Roller Hockey,,Team A,Team B,,,"-1.224532,36.808400",10
NRHL-SCR-2026-008,2026-03-20,Inline / Roller Hockey,,Team A,Team B,,,"-1.224532,36.808400",7
NRHL-SCR-2026-009,2026-04-04,Inline / Roller Hockey,,Team A,Team B,,,"-1.224532,36.808400",6
NRHL-SCR-2026-010,2026-04-11,Inline / Roller Hockey,,Team A,Team B,,,"-1.224532,36.808400",7
